node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
36933,17,15,-81.0,2.0,10.0,108.12021929897092,29.0,4G,Operator A,101.6124,3.0789034899999996,0.527772427,0.8022271439367415,1.0523406782809896,476.1168788329549,100.24216197432668,36933,2025-02-14T12:15:48Z
36933,20,11,-86.0,1.0,10.0,102.82079925718826,33.0,4G,Operator A,101.6124,3.0789034899999996,0.527772427,0.8022271439367415,1.0523406782809896,476.1168788329549,100.24216197432668,36933,2025-03-06T12:00:24Z
95192,17,7,-78.0,3.0,9.0,129.16908281407382,26.0,4G,Operator A,101.6111588,3.0789034899999996,5.645896435,1.1179201018381202,3.530695229548675,338.2681006957335,149.68573530343326,95192,2025-02-14T12:15:36Z
95192,20,14,-76.0,13.0,12.0,102.44792238149647,33.5,4G,Operator A,101.6111588,3.0789034899999996,5.645896435,1.1179201018381202,3.530695229548675,338.2681006957335,149.68573530343326,95192,2025-03-06T12:00:04Z
210038,16,28,-84.0,4.5,9.0,80.46888366069845,4.0,4G,Operator B,101.6031208,3.07280105,0.400392711,4.927963167647736,6.2045981999920885,363.6748265129037,162.0183080692106,210038,2025-02-20T12:51:14Z
210083,4,9,-91.0,6.0,7.0,22.64279414204436,0.0,4G,Operator B,101.6061114,3.06658046,0.0,2.774695898814332,8.426594886048116,57.04864683846163,912.0438460949258,210083,2024-12-11T12:47:14Z
210083,6,15,-95.0,2.0,9.0,329.9978096484457,0.0,4G,Operator B,101.6061114,3.06658046,0.0,2.774695898814332,8.426594886048116,57.04864683846163,912.0438460949258,210083,2024-12-16T11:34:29Z
210083,11,5,-104.0,3.0,7.0,38.35673045799993,0.0,4G,Operator B,101.6061114,3.06658046,0.0,2.774695898814332,8.426594886048116,57.04864683846163,912.0438460949258,210083,2025-01-16T11:40:19Z
210083,20,4,-112.5,-2.0,6.0,444.27828294580354,0.0,4G,Operator B,101.6061114,3.06658046,0.0,2.774695898814332,8.426594886048116,57.04864683846163,912.0438460949258,210083,2025-04-02T12:35:41Z
212644,4,4,-107.0,4.0,9.0,113.70057610055922,0.0,4G,Operator B,101.6077843,3.07343843,3.752753019,5.710765498533158,8.30008733330156,205.60107488462168,260.99563093726977,212644,2024-12-11T13:06:14Z
